Id,SalePrice
1461,119349.598282
1462,155794.909161
1463,181872.072388
1464,199485.32218
1465,196078.576857
1466,168217.35863
1467,173348.670251
1468,168904.216998
1469,188960.176393
1470,124449.411571
1471,180558.304231
1472,97999.4472738
1473,97059.8356767
1474,147722.348637
1475,117234.931555
1476,363288.606304
1477,250497.079081
1478,321022.771848
1479,325510.263894
1480,481431.950722
1481,333304.97406
1482,222076.116662
1483,171513.424958
1484,172375.22385
1485,191248.002998
1486,192724.803577
1487,326460.894277
1488,223378.847573
1489,195102.996028
1490,223475.299763
1491,194316.816189
1492,85151.0403899
1493,191989.328588
1494,272884.228997
1495,280273.993914
1496,234485.651374
1497,171202.390656
1498,171834.933865
1499,165747.260516
1500,157941.525654
1501,171873.328948
1502,156157.171229
1503,275718.152975
1504,239802.667394
1505,222794.840728
1506,189594.040708
1507,242554.310857
1508,196158.16421
1509,168776.391914
1510,144032.967565
1511,140942.215131
1512,160885.058794
1513,148242.072331
1514,136036.28756
1515,202543.685858
1516,145057.948536
1517,154385.166185
1518,126867.425404
1519,204054.068667
1520,133541.156525
1521,133624.941864
1522,165252.293212
1523,111962.133704
1524,123900.366924
1525,120506.312101
1526,113497.094931
1527,103474.409301
1528,130516.778455
1529,155785.05453
1530,183496.93553
1531,112119.807599
1532,94917.9979879
1533,138796.572901
1534,124425.085927
1535,145860.685627
1536,109454.421733
1537,71328.1166962
1538,142805.276769
1539,193400.945809
1540,86809.4599633
1541,152108.203269
1542,140997.623704
1543,199580.291453
1544,79967.4272573
1545,113335.555275
1546,140986.245855
1547,137164.259715
1548,136575.062517
1549,122371.932232
1550,136778.724195
1551,100986.121615
1552,135019.520347
1553,139784.124897
1554,119100.406396
1555,166828.0853
1556,87115.1847698
1557,96166.687036
1558,99573.8022969
1559,91311.4747286
1560,136630.319089
1561,114751.518435
1562,133642.154547
1563,121033.410536
1564,157342.756748
1565,149664.633825
1566,243759.132584
1567,77232.6951018
1568,223261.6923
1569,127726.549034
1570,142247.789658
1571,113771.12367
1572,137934.852163
1573,234592.539459
1574,114585.042496
1575,217389.602857
1576,248920.738301
1577,197925.819758
1578,144417.230536
1579,137082.600193
1580,198417.429856
1581,148906.281866
1582,132534.931863
1583,285238.948585
1584,218019.289537
1585,139915.183412
1586,70805.5015822
1587,104623.077808
1588,147351.36742
1589,95270.1506834
1590,135339.980093
